ID	label_en	synonym_en	label_ja	synonym_ja	notification_number	Mondo
2200198	[Shoman] Congenital central hypoventilation syndrome	CCHS	[小慢] 先天性中枢性低換気症候群		8	MONDO:0008852
2200199	[Shoman] Idiopathic interstitial pneumonia	IIPs	[小慢] 特発性間質性肺炎		2	MONDO:0002429
2200200	[Shoman] Congenital alveolar proteinosis	Congenital pulmonary alveolar proteinosis|C-PAP|Congenital PAP|Hereditary pulmonary alveolar proteinosis	[小慢] 先天性肺胞蛋白症	先天性PAP	1	MONDO:0012580
2200202	[Shoman] Pulmonary alveolar microlithiasis	PAM	[小慢] 肺胞微石症		3	MONDO:0009928
2200203	[Shoman] Primary ciliary dyskinesia		[小慢] 線毛機能不全症候群		10	MONDO:0016575
2200205	[Shoman] Cystic fibrosis	CF	[小慢] 嚢胞性線維症		12	MONDO:0009061
2200206	[Shoman] Bronchiectasis		[小慢] 気管支拡張症		4	MONDO:0004822
2200207	[Shoman] Idiopathic pulmonary hemosiderosis	Idiopathic pulmonary haemosiderosis	[小慢] 特発性肺ヘモジデローシス		11	MONDO:0008346
2200208	[Shoman] Chronic lung disease	CLD	[小慢] 慢性肺疾患		14	
2200209	[Shoman] Bronchiolitis obliterans	Obliterating bronchiolitis	[小慢] 閉塞性細気管支炎		13	MONDO:0015265
2200210	[Shoman] Congenital diaphragmatic hernia	CDH	[小慢] 先天性横隔膜ヘルニア		7	MONDO:0005711
2200211	[Shoman] Congenital cystic lung disease		[小慢] 先天性嚢胞性肺疾患		9	
2200212	[Shoman] Sick sinus syndrome	SSS	[小慢] 洞不全症候群		72	MONDO:0001823
2200213	[Shoman] Mobitz type II second degree atrioventricular block		[小慢] モビッツ2型ブロック	Mobitz2型ブロック	96	MONDO:0001261
2200214	[Shoman] Complete atrio-ventricular block		[小慢] 完全房室ブロック		9	MONDO:0000468|MONDO:0009326
2200215	[Shoman] Bundle branch block		[小慢] 脚ブロック		13	MONDO:0020803
2200216	[Shoman] Polymorphic ventricular premature beat		[小慢] 多源性心室期外収縮		67	MONDO:0017990
2200217	[Shoman] Supraventricular tachycardia due to WPW syndrome		[小慢] 上室頻拍		26	MONDO:0008685
2200218	[Shoman] Multiple atrial tachycardia		[小慢] 多源性心房頻拍		27	MONDO:0005479|MONDO:0005310
2200219	[Shoman] Other supraventricular tachycardia		[小慢] 6及び7に掲げるもののほか、上室頻拍		28	
2200220	[Shoman] Verapamil sensitive ventricular tachycardia		[小慢] ベラパミル感受性心室頻拍		33	
2200221	[Shoman] Catecholaminergic polymorphic ventricular tachycardia	CPVT	[小慢] カテコラミン誘発多形性心室頻拍		32	MONDO:0017990
2200222	[Shoman] Other ventricular tachycardia		[小慢] 9及び10に掲げるもののほか、心室頻拍		34	
2200225	[Shoman] Atrial flutter		[小慢] 心房粗動		47	MONDO:0005310
2200226	[Shoman] Atrial fibrillation	AF	[小慢] 心房細動		46	MONDO:0004981
2200227	[Shoman] Ventricular fibrillation		[小慢] 心室細動		30	MONDO:0000190
2200228	[Shoman] Long qt syndrome	LQTS	[小慢] QT延長症候群		14	MONDO:0002442|MONDO:0019171
